question_id,lesson_id,text,options,correct_answer,difficulty,explanation
q_151,lesson_004,"For transferring ₹2,000 to a friend immediately, which method is fastest?","[""Cheque deposit"", ""NEFT transfer"", ""UPI payment"", ""Demand draft""]",2,4,"UPI payments are instant and available 24/7, making them fastest for small immediate transfers."
q_152,lesson_004,What is the main advantage of IMPS over NEFT?,"[""Lower fees"", ""24/7 availability"", ""Higher limits"", ""International transfers""]",1,4,"IMPS works 24/7 including holidays, while NEFT has specific operating hours."
q_153,lesson_004,"Your UPI transaction of ₹5,000 failed but money was debited. What happens?","[""Money is lost"", ""Auto-refund in 3-5 days"", ""Need court case"", ""Contact recipient""]",1,4,Failed UPI transactions are automatically reversed to your account within 3-5 working days.
q_154,lesson_004,You need to pay ₹5 lakhs for property purchase. Which transfer method is most appropriate?,"[""Multiple UPI transactions"", ""Single RTGS transfer"", ""Cash payment"", ""Multiple NEFT transfers""]",1,5,RTGS is designed for large-value transfers (₹2 lakh+) and provides immediate settlement with proof.
q_155,lesson_004,"Vendor only accepts 'NEFT/RTGS' for ₹50,000 payment, not UPI. Why might this be?","[""UPI is unsafe"", ""Better transaction records"", ""Tax evasion"", ""Bank requirement""]",1,5,NEFT/RTGS provide detailed bank statements and transaction records needed for business accounting and GST.
q_156,lesson_004,You sent money to wrong UPI ID. What's your first step?,"[""Call police"", ""Contact your bank immediately"", ""Message the recipient"", ""Wait for auto-reversal""]",1,5,Contact your bank immediately to report wrong transfer. They can help trace and potentially recover funds.
q_157,lesson_004,Business owner receiving 50+ payments daily of ₹500-5000 each. Which setup is most efficient?,"[""Personal UPI ID"", ""QR code with business UPI"", ""Only bank transfers"", ""Cash only""]",1,6,"Business UPI with QR code allows higher limits, better tracking, and automatic reconciliation for multiple transactions."
q_158,lesson_004,NRI relative wants to send you ₹2 lakhs from USA. What's the best method considering taxes and regulations?,"[""Wire transfer to NRO account"", ""Multiple small transfers"", ""Cryptocurrency"", ""Cash through friend""]",0,6,"Wire transfer to NRO account is legal, trackable, and complies with FEMA regulations for foreign remittances."
q_159,lesson_004,You're buying used car for ₹3 lakhs. Seller insists on RTGS to his account before registration transfer. Best approach?,"[""Pay full amount first"", ""Use escrow service"", ""Pay 50% now, 50% later"", ""Demand post-dated cheque""]",1,6,Escrow services or bank guarantees protect both parties in high-value transactions with asset transfers.
q_160,lesson_004,Freelancer receiving payments from multiple international clients. Which combination works best?,"[""Only PayPal"", ""Bank wire + PayPal + Wise"", ""Only cryptocurrency"", ""Western Union only""]",1,6,Multiple platforms provide flexibility for different client preferences while maintaining compliance and competitive fees.
q_161,lesson_004,You need to send money to your family in another city urgently. What is the fastest method?,"[""Cheque"", ""UPI"", ""NEFT"", ""Demand draft""]",1,4,"UPI is instant and works 24/7, making it fastest for domestic transfers."
q_162,lesson_004,What is the maximum amount you can send via UPI in a single transaction?,"[""₹1 lakh"", ""₹2 lakhs"", ""₹5 lakhs"", ""No limit""]",0,4,"UPI transaction limits are set by banks, typically ₹1 lakh per transaction, but can vary."
q_163,lesson_004,How long does NEFT take to process during working hours?,"[""Instant"", ""2-4 hours"", ""24 hours"", ""48 hours""]",1,4,"NEFT processes in half-hourly batches during working hours, so it can take up to 2 hours."
q_164,lesson_004,What is the cutoff time for NEFT transfers?,"[""6 PM"", ""8 PM"", ""12 PM"", ""Depends on bank""]",3,4,"NEFT cutoff times vary by bank, but typically around 6-8 PM for same-day settlement."
q_165,lesson_004,You need to transfer ₹1.5 lakhs to a friend. Which method is most suitable?,"[""UPI"", ""IMPS"", ""NEFT"", ""RTGS""]",1,4,"IMPS can handle amounts up to ₹2 lakhs and is available 24/7, making it suitable."
q_166,lesson_004,What is the fee for NEFT transfers?,"[""Free"", ""₹2.5 + GST"", ""₹5 + GST"", ""₹10 + GST""]",0,4,RBI has made NEFT transfers free for savings account holders.
q_167,lesson_004,How can you avoid charges on RTGS transfers?,"[""Use UPI instead"", ""Banks charge fees, but some offer free RTGS"", ""No way to avoid"", ""Use cash""]",1,4,Some banks offer free RTGS transfers for certain account types; check with your bank.
q_168,lesson_004,What is the minimum amount for RTGS?,"[""₹1 lakh"", ""₹2 lakhs"", ""₹5 lakhs"", ""No minimum""]",1,4,"RTGS is for large-value transfers, with minimum amount typically ₹2 lakhs."
q_169,lesson_004,You want to transfer money to someone without a bank account. What option do you have?,"[""UPI"", ""NEFT"", ""Cash deposit to their account"", ""Western Union or similar service""]",3,4,Services like Western Union allow cash pickup without a bank account.
q_170,lesson_004,What is the benefit of using a demand draft?,"[""Instant transfer"", ""Secure as it is payable to specific person"", ""No fees"", ""Works internationally""]",1,4,Demand drafts are secure because they are prepaid and payable only to the named recipient.
q_171,lesson_004,How long is a demand draft valid?,"[""1 month"", ""3 months"", ""6 months"", ""1 year""]",1,4,Demand drafts are typically valid for 3 months from the date of issue.
