question_id,lesson_id,text,options,correct_answer,difficulty,explanation
q_001,lesson_001,You receive ₹500 every week from your parents for expenses. What type of money is this?,"[""Income"", ""Loan"", ""Tax"", ""Investment""]",0,1,"Income is any money you receive regularly, including pocket money from parents."
q_002,lesson_001,Which of these is NOT considered a source of income?,"[""Salary from job"", ""Interest from savings"", ""Pocket money"", ""Money spent on food""]",3,1,"Money spent on food is an expense, not income. Income is money you receive, not spend."
q_003,lesson_001,You work at a bookstore and get paid ₹8000 every month. This payment is called your:,"[""Debt"", ""Salary"", ""Rent"", ""Fine""]",1,1,Salary is the regular payment you receive for doing a job.
q_004,lesson_001,You have a job paying ₹20000/month rental income of ₹5000/month and won ₹10000 in a contest last month. What is your regular monthly income?,"[""₹35,000"", ""₹30,000"", ""₹25,000"", ""₹20,000""]",2,2,"Regular monthly income includes salary (₹20,000) and rental income (₹5,000). Contest winnings are one-time, not regular."
q_005,lesson_001,You earn ₹15000 from your main job ₹3000 from weekend tutoring (freelancing) and ₹500 monthly bank interest. For planning your budget which income should you consider as regular income?,"[""All ₹18,500"", ""₹18,000 from job and tutoring"", ""₹15,500 from job and interest"", ""Only ₹15,000 from main job""]",2,2,Job salary and bank interest are guaranteed while tutoring income may vary. Budget planning should use regular income sources to ensure consistency.
q_006,lesson_001,Your friend says she earns 'passive income' from her fixed deposit. What does passive income mean?,"[""Money earned without regular work"", ""Money from part-time jobs"", ""Money borrowed from others"", ""Money saved every month""]",0,2,"Passive income is money earned without active work, like interest from deposits or rent from property."
q_007,lesson_001,"For a home loan application you need to declare your monthly income. You have: salary ₹30,000, commission ₹5,000-15,000 (varies), freelance projects ₹0-20,000 (irregular), dividend ₹2,000 quarterly. What should you declare?","[""₹52,000 using maximum amounts"", ""₹45,000 using average amounts"", ""₹37,000 using minimum guaranteed"", ""₹30,667 including quarterly dividend""]",3,3,"For loan applications, include guaranteed salary (₹30,000) plus averaged regular income like dividends (₹2,000÷3 = ₹667/month)."
q_008,lesson_001,"You want to increase your income by 20% in 2 months to support sudden expenses. You have salary ₹25000, rental income ₹8000, and freelancing ₹10,000 (average). Which approach is most realistic?","[""Negotiate 20% salary raise"", ""Increase rent by 20%"", ""Take more freelance work"", ""Do all three equally""]",2,3,Freelance work is most flexible to increase. Salary raises and rent increases are harder to control quickly.
q_009,lesson_001,You are 16 years old and want to earn money. Which combination of income sources is most appropriate for your age?,"[""Part-time job + tutoring younger kids"", ""Stock trading + freelancing"", ""Full-time job + rental income"", ""Business loan + investments""]",0,3,"Part-time work and tutoring are age-appropriate income sources for teenagers, while others require adult status or capital."
q_010,lesson_001,"During economic uncertainty, which income combination provides the best stability?","[""High salary from one company"", ""Multiple freelance clients"", ""Government job + fixed deposits"", ""Commission-based sales only""]",2,3,"Government jobs offer job security and fixed deposits provide guaranteed returns, making this the most stable combination."
q_011,lesson_001,"You have two job offers: Job A pays ₹40000 fixed salary, Job B pays ₹30,000 fixed plus performance bonus up to ₹20000. Which should you choose if you need stable income?","[""Job A for stability"", ""Job B for higher potential"", ""Negotiate both"", ""Reject both""]",0,4,"If you need stable income, choose the fixed salary job because bonuses are not guaranteed."
q_012,lesson_001,Your monthly income is ₹50000. You want to save 20% for a down payment. How much should you save each month?,"[""₹5,000"", ""₹10,000"", ""₹15,000"", ""₹20,000""]",1,2,"20% of ₹50,000 is ₹10,000. This is simple arithmetic."
q_013,lesson_001,You are considering a side hustle that could earn you ₹5000-10000 per month but requires 10 hours per week. Is this worth it?,"[""Yes, any extra income is good"", ""No, the time is not worth it"", ""It depends!"", ""Only if it's easy""]",2,5,The decision depends on whether the extra income aligns with your goals and if you have the time without affecting your main job or health.
q_014,lesson_001,You received a gift of ₹50000 from a relative. Is this considered income?,"[""Yes, all money received is income"", ""No, gifts are not income"", ""Only if from parents"", ""Only if above ₹50,000""]",1,2,"In India, gifts from relatives are not considered taxable income, so it's not regular income."
q_015,lesson_001,You have a savings account with ₹1 lakh that earns 4% interest per year. How much interest income will you earn per month?,"[""₹4,000"", ""₹400"", ""₹333"", ""₹4,200""]",2,3,"Annual interest is 4% of ₹1,00,000 = ₹4,000. Monthly interest = ₹4,000 / 12 = ₹333.33."
q_016,lesson_001,You are self-employed and your income varies monthly. How should you estimate your income for budgeting?,"[""Use the highest month's income"", ""Use the lowest month's income"", ""Use an average of the last 6 months"", ""Don't estimate, wait and see""]",2,4,"Using an average of recent months provides a realistic estimate for budgeting, accounting for variability."
q_017,lesson_001,Which of these is an example of passive income?,"[""Salary from a job"", ""Rent from a property you own"", ""Freelance writing"", ""Driving for Uber""]",1,2,"Passive income requires minimal ongoing effort, like rental income from property."
q_018,lesson_001,You have a fixed deposit that earns ₹1000 interest per month. How should you categorize this income?,"[""Active income"", ""Passive income"", ""Gift"", ""Loan""]",1,2,Interest from fixed deposits is passive income because it requires no active work.
q_019,lesson_001,Your income has increased by 10% this year. What should you do with the extra money?,"[""Increase spending on wants"", ""Save or invest most of it"", ""Give it to family"", ""Keep it in cash""]",1,4,"To avoid lifestyle inflation, save or invest the extra income to build wealth."
q_020,lesson_001,You are offered a bonus of ₹20000 if you meet targets. Should you include this in your monthly income planning?,"[""Yes, always include bonuses"", ""No, never include bonuses"", ""Include only if it's guaranteed"", ""Include a conservative estimate""]",3,5,"Bonuses are not guaranteed, so include a conservative estimate or avoid including them in essential planning."
q_021,lesson_001,Which income source is most likely to be irregular?,"[""Government job salary"", ""Pension"", ""Freelance projects"", ""Bank interest""]",2,3,"Freelance projects often have irregular timing and amounts, unlike steady salaries or interest."
q_022,lesson_001,You earn ₹30000 per month from your job and ₹5000 from a side business. What is your total monthly income?,"[""₹30,000"", ""₹35,000"", ""₹5,000"", ""₹25,000""]",1,1,"Total income is the sum of all sources: ₹30,000 + ₹5,000 = ₹35,000."
q_023,lesson_001,What is the main advantage of having multiple income sources?,"[""It reduces taxes"", ""It increases financial stability"", ""It requires less work"", ""It guarantees wealth""]",1,4,"Multiple income sources provide stability if one source fails, reducing financial risk."
q_024,lesson_001,You are 22 years old and just started your first job. What should be your focus regarding income?,"[""Maximize income at any cost"", ""Balance income with skill development"", ""Only focus on saving"", ""Avoid all taxes""]",1,5,"Early career should focus on building skills and experience, which can lead to higher income later."
q_025,lesson_001,Which of these is not typically considered income?,"[""Salary"", ""Bonus"", ""Loan from bank"", ""Dividends from stocks""]",2,2,"Loans must be repaid, so they are not income but liability."
q_026,lesson_001,Your monthly income is ₹40000. You receive a one-time gift of ₹10000. How does this affect your monthly income?,"[""Increases monthly income to ₹50,000"", ""No effect on monthly income"", ""Decreases monthly income"", ""Only affects yearly income""]",1,2,"One-time gifts are not recurring income, so they don't affect your regular monthly income."
q_027,lesson_001,You invest ₹50000 in a mutual fund that gives 12% return per year. How much income will you earn annually?,"[""₹6,000"", ""₹12,000"", ""₹5,000"", ""₹10,000""]",0,3,"Your income is the return generated from the mutual fund due to the growth of its portfolio stocks, and is calculated similar to interest. Thus, 12% of ₹50000 is ₹6000 which is your mutual fund income per year"
q_028,lesson_001,Which income source is generally most stable?,"[""Commission-based sales"", ""Fixed salary job"", ""Freelance work"", ""Investments in stocks""]",1,3,"Fixed salary jobs provide stable, predictable income compared to variable sources."
q_029,lesson_001,You are paid ₹500 per day for casual labor. How should you estimate your monthly income?,"[""Assume 30 days of work"", ""Use average days worked per month"", ""Use only weekdays"", ""Don't estimate""]",1,4,"For irregular work, use an average of days worked per month for a realistic income estimate."
q_030,lesson_001,What is the difference between active and passive income?,"[""Active income requires work, passive does not"", ""Active income is higher"", ""Passive income is always better"", ""No difference""]",0,3,"Active income requires ongoing effort, while passive income is earned with minimal active involvement."
q_031,lesson_001,You have a rental property that earns ₹15000 per month. What type of income is this?,"[""Active income"", ""Passive income"", ""Portfolio income"", ""Gift income""]",1,3,Rental income is passive because it requires minimal effort after initial setup.
q_032,lesson_001,Your income is ₹60000 per month. You want to save 30% of this income for retirement. How much will you save monthly?,"[""₹18,000"", ""₹12,000"", ""₹20,000"", ""₹6,000""]",0,2,30% of ₹60000 is ₹18000
q_033,lesson_001,Which factor is most important when evaluating a job offer's income?,"[""Only the salary amount"", ""The net income after taxes and deductions"", ""The bonus potential"", ""The job title""]",1,5,Net income after taxes and deductions determines what you actually take home.
q_034,lesson_001,You run a small business with monthly revenue of ₹100000 and expenses of ₹70000. What is your income?,"[""₹1,00,000"", ""₹70,000"", ""₹30,000"", ""₹1,70,000""]",2,3,"Income from business is revenue minus expenses: ₹1,00,000 - ₹70,000 = ₹30,000."
q_035,lesson_001,You receive dividends of ₹2000 quarterly from stocks. How much is this per month?,"[""₹500"", ""₹667"", ""₹2,000"", ""₹250""]",1,3,₹2000 per quarter is ₹2000 / 3 = ₹667 per month.
q_036,lesson_001,What is the best way to increase your income over time?,"[""Rely on one job"", ""Develop new skills and seek promotions"", ""Work longer hours"", ""Ask for raises frequently""]",1,6,Skill development and career advancement lead to sustainable income growth.
q_037,lesson_001,You are considering a job with a lower base salary but higher commission. What should you do?,"[""Reject it immediately"", ""Accept it for the potential"", ""Assess your sales skills and market conditions"", ""Ask for higher base""]",2,6,"Commission-based income depends on your ability to sell and market conditions, so assess carefully."
q_038,lesson_001,Which income source is least reliable during a recession?,"[""Government job"", ""Fixed deposit interest"", ""Commission-based sales"", ""Pension""]",2,5,Commission-based sales often decline during recessions as people spend less.
q_039,lesson_001,You earn ₹25000 per month and your spouse earns ₹35000. What is your household income?,"[""₹25,000"", ""₹35,000"", ""₹60,000"", ""₹10,000""]",2,1,"Household income is the sum of all members' incomes: ₹25,000 + ₹35,000 = ₹60,000."
q_040,lesson_001,What is the benefit of having a diversified income portfolio?,"[""It reduces paperwork"", ""It minimizes risk from one income source failing"", ""It increases taxes"", ""It requires less management""]",1,7,"Diversification spreads risk, so if one income source fails, others can compensate."
q_041,lesson_001,You are a student with no regular income. How can you generate income?,"[""Take a loan"", ""Use credit cards"", ""Part-time job or freelancing"", ""Ask parents for more money""]",2,4,Part-time work or freelancing can provide income without affecting studies significantly.
q_042,lesson_001,Your income is in dollars from an international client. How does this affect your income?,"[""It increases due to exchange rate"", ""It decreases due to exchange rate"", ""It remains the same"", ""It depends on the exchange rate""]",3,6,"Exchange rates fluctuate, so your income in rupees may vary based on the dollar rate."
q_043,lesson_001,Which of these is not a passive income idea?,"[""Renting out a room"", ""Writing a book that earns royalties"", ""Driving for ride-sharing"", ""Investing in dividend stocks""]",2,4,"Driving for ride-sharing requires active work, so it's not passive income."
